episode,step,position_x,position_y,mineral_type,concentration,reward_earned,timestamp
12,203,14,51,-1,0.7512540829062619,75.1254082906262,2026-02-05T23:49:34.328697
12,204,13,52,-1,0.7117229426165885,71.17229426165885,2026-02-05T23:49:39.115462
12,205,12,52,-1,0.5844743984133536,58.44743984133535,2026-02-05T23:49:44.761113
12,206,12,51,-1,0.5475617393480648,54.75617393480648,2026-02-05T23:49:50.568897
12,210,13,49,-1,0.5611797106394478,56.11797106394478,2026-02-05T23:50:24.123499
12,211,12,49,-1,0.5299304241031583,52.99304241031583,2026-02-05T23:50:36.474451
12,211,13,48,-1,0.5850482501920269,58.504825019202684,2026-02-05T23:50:37.421428
12,212,13,47,-1,0.5880785965420315,58.807859654203156,2026-02-05T23:50:45.253782
12,212,14,48,-1,0.5173016820775621,51.73016820775621,2026-02-05T23:50:45.400684
12,213,15,47,-1,0.5702846887885417,57.02846887885417,2026-02-05T23:50:59.083820
12,213,16,47,-1,0.5721637027326739,57.216370273267394,2026-02-05T23:50:59.331956
12,214,17,47,-1,0.7635428221127912,76.35428221127913,2026-02-05T23:51:07.451937
12,214,16,48,-1,0.5676672829897131,56.766728298971316,2026-02-05T23:51:08.322164
13,220,53,13,-1,1.4205890909090908,142.05890909090908,2026-02-05T23:52:21.362748
13,221,53,12,-1,0.9982,99.82,2026-02-05T23:52:34.841294
13,221,54,11,-1,0.921276923076923,92.1276923076923,2026-02-05T23:52:35.325440
13,222,54,12,-1,0.855342857142857,85.5342857142857,2026-02-05T23:52:47.882914
13,222,54,13,-1,1.0729648274395926,107.29648274395926,2026-02-05T23:52:48.371746
13,223,54,14,-1,1.0540289725744008,105.40289725744007,2026-02-05T23:52:59.281474
13,223,54,15,-1,1.0323708198396593,103.23708198396592,2026-02-05T23:52:59.412040
13,224,53,14,-1,0.9378491568200655,93.78491568200656,2026-02-05T23:53:18.542697
13,224,54,15,-1,0.6298589473684211,62.985894736842106,2026-02-05T23:53:19.500872
13,225,53,14,-1,0.59828,59.828,2026-02-05T23:53:37.613411
13,225,53,15,-1,0.891424194226241,89.1424194226241,2026-02-05T23:53:38.405082
13,226,53,14,-1,0.5437545454545455,54.375454545454545,2026-02-05T23:53:56.237228
13,226,53,15,-1,0.5200391304347827,52.00391304347826,2026-02-05T23:53:56.350479
13,227,52,14,-1,0.7472837568700595,74.72837568700595,2026-02-05T23:54:11.203914
13,228,52,15,-1,0.7514692428466725,75.14692428466725,2026-02-05T23:54:26.310731
13,229,51,13,-1,0.6348151137643618,63.48151137643619,2026-02-05T23:54:43.319847
13,231,51,15,-1,0.6267475037509393,62.674750375093936,2026-02-05T23:55:13.440534
13,234,50,13,-1,0.572328508840746,57.23285088407461,2026-02-05T23:55:59.913137
13,235,50,12,-1,0.5617708970600126,56.177089706001254,2026-02-05T23:56:11.348736
13,236,49,12,-1,0.5982635598643543,59.82635598643543,2026-02-05T23:56:25.063341
13,237,49,11,-1,0.5918882193764263,59.18882193764263,2026-02-05T23:56:34.315129
13,237,50,10,-1,0.548423667574945,54.8423667574945,2026-02-05T23:56:35.293217
14,240,86,58,-1,0.5941654054522515,59.416540545225146,2026-02-05T23:57:06.780295
14,240,87,57,-1,0.556006549526453,55.6006549526453,2026-02-05T23:57:07.517481
14,245,89,58,-1,1.5023672727272726,150.23672727272725,2026-02-05T23:57:41.362280
14,246,88,59,-1,1.40466,140.466,2026-02-05T23:57:46.134122
14,246,88,58,-1,1.3219876923076925,132.19876923076924,2026-02-05T23:57:46.290350
14,247,87,58,-1,1.2511285714285716,125.11285714285715,2026-02-05T23:57:50.355476
14,247,87,57,-1,0.85822,85.822,2026-02-05T23:57:51.294948
14,248,87,56,-1,0.80447,80.447,2026-02-05T23:57:57.233023
14,248,87,55,-1,0.7570435294117647,75.70435294117647,2026-02-05T23:57:57.559453
14,249,86,54,-1,1.0255928659312863,102.55928659312862,2026-02-05T23:58:03.148456
14,249,87,53,-1,1.0014535943862364,100.14535943862364,2026-02-05T23:58:03.390419
14,250,86,51,-1,0.958349727976861,95.8349727976861,2026-02-05T23:58:11.401687
14,251,87,50,-1,0.9298000000000001,92.98,2026-02-05T23:58:18.209348
14,251,87,49,-1,0.9037330434782609,90.37330434782609,2026-02-05T23:58:18.607887
14,252,86,49,-1,0.87984,87.984,2026-02-05T23:58:26.499292
14,252,87,50,-1,0.52636,52.63600000000001,2026-02-05T23:58:27.306778
14,253,88,50,-1,0.8375523076923076,83.75523076923076,2026-02-05T23:58:42.391766
14,253,88,51,-1,0.8187646939637387,81.87646939637388,2026-02-05T23:58:43.370016
14,254,87,51,-1,0.8013243765034214,80.13243765034214,2026-02-05T23:58:57.435342
14,255,89,49,-1,0.7303499890275177,73.03499890275177,2026-02-05T23:59:04.297512
14,256,89,48,-1,0.7369751282395746,73.69751282395745,2026-02-05T23:59:10.477290
14,256,90,48,-1,0.7294321501431205,72.94321501431205,2026-02-05T23:59:11.361204
14,257,91,49,-1,0.7182152941176472,71.82152941176471,2026-02-05T23:59:20.157868
14,257,91,50,-1,0.7068206153318072,70.68206153318071,2026-02-05T23:59:20.377672
14,258,90,49,-1,0.6935476380802699,69.35476380802699,2026-02-05T23:59:31.629931
14,258,89,50,-1,0.6331400754957938,63.31400754957937,2026-02-05T23:59:32.301353
14,261,88,52,-1,0.5604259098530493,56.04259098530493,2026-02-06T00:00:01.302399
14,262,87,52,-1,0.501379381051013,50.1379381051013,2026-02-06T00:00:15.776830
14,263,85,52,-1,0.5563625703762468,55.63625703762468,2026-02-06T00:00:30.625847
14,263,85,53,-1,0.5584541598543958,55.84541598543959,2026-02-06T00:00:31.343668
14,264,84,53,-1,0.5817203595046458,58.17203595046459,2026-02-06T00:00:46.333110
16,266,56,64,-1,0.5300254819989205,53.00254819989205,2026-02-06T00:01:07.609296
16,267,55,62,-1,0.5776530667030811,57.765306670308114,2026-02-06T00:01:20.694038
16,271,56,59,-1,1.6933163636363637,169.33163636363636,2026-02-06T00:02:22.314578
18,278,79,70,-1,1.4435945454545456,144.35945454545455,2026-02-06T00:03:43.485464
18,279,80,69,-1,1.6546399999999999,165.464,2026-02-06T00:03:55.991756
18,279,79,69,-1,1.552736923076923,155.2736923076923,2026-02-06T00:03:56.555134
18,280,79,68,-1,1.4653942857142856,146.53942857142857,2026-02-06T00:04:08.661698
